statusId | label
8|test
statusId|sensorName|value|timestamp
8|3-axis Accelerometer|[-1.0534488,-4.1659107,-3.5242648]|1485609777529
8|3-axis Accelerometer|[-1.0534488,-4.4436383,-3.217807]|1485609777539
8|3-axis Accelerometer|[-0.6703765,-5.583278,-2.5570073]|1485609777549
8|3-axis Accelerometer|[-0.38307226,-7.6135616,-2.3080103]|1485609777559
8|3-axis Accelerometer|[-0.2873042,-10.036493,-2.0685902]|1485609777568
8|3-axis Accelerometer|[0.22984336,-11.9614315,-2.5570073]|1485609777579
8|3-axis Accelerometer|[1.292869,-12.497733,-3.6774938]|1485609777588
8|3-axis Accelerometer|[2.7581203,-12.11466,-4.175488]|1485609777598
8|3-axis Accelerometer|[4.414908,-11.137826,-4.5298295]|1485609777611
8|3-axis Accelerometer|[6.1004257,-10.218452,-4.7309427]|1485609777618
8|3-axis Accelerometer|[7.374141,-10.218452,-3.9360676]|1485609777628
8|3-axis Accelerometer|[8.418014,-11.195287,-2.566584]|1485609777637
8|3-axis Accelerometer|[9.394848,-11.836933,-1.8770541]|1485609777647
8|3-axis Accelerometer|[11.003751,-12.038046,-1.5897499]|1485609777657
8|3-axis Accelerometer|[12.287044,-11.674128,-1.6184803]|1485609777668
8|3-axis Accelerometer|[13.283031,-10.850522,-1.9249382]|1485609777677
8|3-axis Accelerometer|[13.627796,-9.433155,-3.1028855]|1485609777687
8|3-axis Accelerometer|[13.838486,-8.724471,-4.673482]|1485609777697
8|3-axis Accelerometer|[14.250289,-9.097966,-5.889736]|1485609777707
8|3-axis Accelerometer|[14.671668,-10.563218,-6.6175733]|1485609777716
8|3-axis Accelerometer|[14.872781,-11.951855,-7.795521]|1485609777726
8|3-axis Accelerometer|[14.441825,-12.363658,-8.848969]|1485609777736
8|3-axis Accelerometer|[13.9438305,-12.612655,-9.797073]|1485609777746
8|3-axis Accelerometer|[13.292608,-12.765883,-9.844957]|1485609777757
8|3-axis Accelerometer|[12.555194,-12.430696,-8.944737]|1485609777766
8|3-axis Accelerometer|[12.804191,-12.497733,-8.159439]|1485609777776
