# Accelerometer Data File
# Started @Mon Jan 16 23:01:50 GMT+05:30 2017
#
#
# sensor Vendor: Kionix
# sensor Name: 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.03 -0.015 0.021 10
0.001 0.02 0.019 10
0.001 0.01 -0.043 10
0.001 -0.016 -0.004 9
-0.007 0.027 -0.003 10
0.01 0.007 -0.012 10
0.043 0.033 -0.002 10
0.005 0.003 0.023 10
-0.012 -0.022 0.03 10
-0.011 0.005 0.044 10
-0.01 -0.003 0.014 10
-0.009 0.048 0.072 10
0.017 0.026 0.031 9
0.007 -0.002 -0.023 10
0.032 -0.027 -0.012 10
-0.014 -0.042 0.005 10
-0.029 -0.029 -0.037 10
-0.026 -0.043 -0.051 10
0.018 -0.022 -0.02 10
0.017 0.006 0.007 8
-0.01 -0.02 -0.027 11
-0.026 0.016 -0.024 10
-0.041 0.04 -0.005 10
-0.045 0.036 0.003 10
-0.032 0.006 -0.005 10
-0.037 0.049 -0.013 10
0.0 0.001 0.014 10
0.0 -0.007 0.012 10
0.0 0.019 0.019 9
0.043 0.008 0.0 10
0.038 0.0 0.0 10
0.0 0.007 0.017 10
0.0 -0.018 0.007 10
0.034 0.034 0.015 10
0.005 -0.003 -0.02 10
0.013 -0.028 -0.01 10
0.012 0.017 0.016 9
-0.006 0.015 -0.002 11
-0.031 -0.029 0.015 9
-0.028 0.008 0.039 10
-0.008 -0.009 -0.024 10
0.018 0.0 0.046 10
0.0 0.042 0.0 10
0.008 -0.004 -0.018 10
-0.001 -0.029 -0.016 9
-0.018 -0.044 -0.092 10
0.0 -0.005 -0.057 10
-0.008 0.012 0.043 10
0.009 -0.005 0.03 10
-0.008 0.003 0.035 10
-0.016 -0.014 -0.002 10
0.028 0.004 0.023 10
0.017 0.003 0.012 10
-0.027 -0.005 0.08 9
-0.033 -0.004 -0.039 10
0.004 0.004 0.024 10
0.021 0.004 -0.012 10
0.027 -0.022 0.023 10
0.0 -0.011 -0.03 10
0.007 -0.001 -0.001 10
-0.001 0.007 -0.01 9
0.007 0.049 0.0 10
0.006 0.001 -0.034 10
-0.002 0.018 -0.031 10
0.031 0.0 -0.036 10
-0.005 0.034 0.009 10
-0.031 0.047 0.017 10
-0.045 0.025 0.015 10
-0.057 0.014 0.04 9
-0.052 0.021 -0.024 10
-0.029 -0.014 0.055 10
-0.026 -0.039 0.024 10
-0.024 -0.043 -0.029 10
-0.012 -0.074 -0.001 10
-0.046 -0.014 0.007 10
-0.024 -0.013 0.006 10
-0.03 -0.003 0.006 10
-0.018 0.031 0.005 9
-0.008 0.01 -0.012 10
0.035 0.001 -0.019 10
0.049 0.001 -0.043 10
0.052 0.018 0.003 10
0.064 0.016 0.012 10
0.032 -0.002 -0.014 10
0.037 -0.002 0.012 10
0.016 0.023 0.045 9
0.006 -0.004 0.041 10
0.014 -0.047 -0.049 10
-0.012 -0.007 -0.009 10
-0.037 -0.024 0.025 10
-0.042 -0.013 -0.028 10
-0.055 -0.037 -0.051 10
-0.041 0.017 0.039 9
0.006 -0.001 -0.041 10
0.014 0.016 0.014 10
0.012 0.014 0.029 10
0.02 0.064 0.026 10
0.026 0.006 0.032 10
-0.001 -0.002 -0.082 10
0.015 -0.028 -0.005 10
0.005 0.052 0.012 10
-0.021 -0.004 0.011 10
-0.01 -0.012 0.001 9
0.007 0.005 0.001 10
-0.001 0.039 0.035 10
-0.009 -0.007 0.049 10
-0.017 -0.032 -0.024 10
0.001 -0.02 0.003 10
0.018 0.007 0.029 10
-0.017 0.015 -0.008 9
-0.024 0.004 0.078 10
-0.03 -0.021 0.01 10
-0.001 -0.019 0.0 10
-0.001 -0.008 0.0 10
-0.001 -0.033 0.009 10
-0.001 -0.004 0.051 9
-0.018 -0.021 -0.022 10
0.009 0.023 0.048 10
-0.017 0.047 0.043 10
0.01 0.051 0.013 10
-0.008 0.054 -0.03 10
-0.024 0.014 -0.062 10
-0.039 -0.012 -0.099 10
-0.026 0.014 -0.071 9
0.01 -0.021 -0.082 10
0.043 -0.036 -0.013 10
0.013 -0.024 -0.029 10
0.02 0.038 0.025 10
0.035 -0.017 -0.003 10
-0.002 0.01 -0.002 11
-0.001 -0.042 -0.019 9
-0.01 0.013 0.016 10
-0.009 0.003 0.032 9
0.008 0.046 0.054 11
-0.009 0.05 0.066 9
-0.008 0.028 0.016 10
0.018 -0.009 -0.036 10
0.016 -0.034 0.01 11
0.006 0.012 0.035 9
0.014 0.045 0.057 10
0.012 0.006 0.025 10
-0.005 0.005 -0.011 10
0.012 -0.02 -0.027 9
-0.006 -0.027 -0.076 10
0.011 -0.05 -0.042 10
-0.024 0.023 -0.021 11
-0.004 0.029 -0.027 9
-0.012 -0.007 -0.033 10
-0.037 -0.006 -0.047 10
-0.033 -0.014 -0.016 10
-0.03 -0.004 -0.015 9
-0.061 0.047 0.02 10
-0.029 0.034 0.053 10
-0.026 0.056 0.03 10
-0.015 0.033 0.018 10
-0.005 0.038 0.025 10
-0.013 -0.008 0.04 10
-0.011 -0.033 -0.041 10
-0.002 -0.012 -0.019 9
0.058 0.005 0.007 10
0.052 -0.02 -0.018 10
0.047 -0.035 -0.042 10
0.059 0.019 0.021 10
0.062 0.026 0.08 10
0.03 -0.002 -0.022 9
-0.007 -0.027 -0.072 11
0.01 -0.025 0.012 9
0.052 0.037 -0.014 10
0.021 0.085 0.055 10
-0.023 0.034 0.024 10
-0.055 -0.003 -0.081 10
-0.05 -0.02 -0.047 10
-0.019 -0.027 -0.016 9
0.008 -0.024 -0.006 10
-0.035 -0.03 0.028 10
-0.031 -0.027 0.086 10
-0.037 -0.016 0.068 10
-0.007 0.019 -0.015 10
-0.006 -0.025 0.011 10
-0.006 -0.022 0.002 10
0.037 -0.003 -0.041 10
0.033 0.014 -0.028 10
0.056 0.021 -0.034 9
0.067 -0.006 -0.013 10
0.061 0.037 0.004 10
0.011 0.016 0.03 10
0.002 -0.002 -0.007 10
-0.032 -0.019 -0.049 10
-0.003 0.0 0.05 10
-0.02 0.016 0.045 9
-0.026 0.006 0.04 10
-0.041 0.023 0.045 10
-0.028 0.012 -0.011 10
-0.043 0.002 -0.009 10
-0.047 0.01 -0.077 10
-0.025 -0.024 -0.07 10
-0.005 -0.022 -0.071 10
0.003 0.031 0.021 10
0.037 -0.014 -0.032 9
0.033 -0.004 -0.02 10
0.039 0.013 -0.001 10
0.043 0.003 0.0 10
0.056 0.046 0.068 10
0.033 -0.018 0.009 10
-0.021 -0.034 -0.034 10
0.006 -0.004 0.012 9
-0.002 -0.004 0.01 10
-0.01 0.021 0.035 10
-0.009 -0.006 0.049 10
0.0 -0.014 0.044 10
0.0 -0.004 0.031 10
-0.026 -0.003 -0.023 10
0.002 -0.012 0.004 10
0.01 0.023 0.03 10
0.001 -0.064 -0.059 9
0.009 -0.023 -0.035 10
0.0 -0.004 -0.049 10
0.017 0.021 -0.001 10
-0.001 0.019 0.041 10
0.015 0.009 -0.014 10
0.014 0.059 -0.004 10
-0.03 -0.006 -0.02 10
-0.027 0.028 -0.01 9
-0.033 -0.034 -0.017 10
-0.055 -0.022 0.027 10
-0.05 -0.002 -0.001 10
-0.01 0.006 0.05 10
-0.026 0.022 0.062 10
0.001 0.037 0.004 10
0.018 -0.009 -0.03 10
0.051 -0.034 -0.053 9
-0.005 -0.022 -0.022 10
0.029 0.023 0.04 10
0.061 0.038 0.036 10
0.029 0.034 0.015 10
0.034 0.004 -0.011 10
0.014 -0.021 -0.036 10
0.004 -0.045 -0.041 9
0.012 -0.057 -0.063 10
0.011 -0.034 -0.065 10
-0.024 -0.005 0.001 10
-0.013 0.003 0.009 10
-0.003 0.011 0.026 10
-0.011 -0.015 0.04 10
-0.001 -0.013 0.036 10
-0.036 0.03 0.015 9
-0.024 -0.015 -0.02 10
0.012 0.012 -0.026 10
-0.014 -0.014 -0.006 10
-0.004 -0.004 0.028 10
0.004 0.03 0.008 10
0.03 0.018 0.033 10
0.001 0.033 0.029 10
0.018 -0.029 -0.033 10
0.068 0.007 -0.021 9
0.026 0.015 -0.01 10
0.007 -0.029 -0.018 10
-0.01 -0.009 -0.016 10
0.007 0.043 0.062 10
-0.036 0.021 0.039 10
-0.041 0.028 0.043 10
-0.037 -0.008 0.03 10
-0.033 0.009 0.045 9
0.012 0.008 0.023 10
0.003 0.007 0.012 10
0.002 -0.027 -0.031 10
-0.023 -0.05 -0.063 10
0.004 -0.045 -0.082 10
0.021 -0.015 -0.022 10
0.01 0.003 -0.029 10
0.026 0.037 0.025 9
0.024 0.051 0.005 10
0.013 0.037 -0.037 10
0.003 -0.052 -0.085 10
0.011 -0.012 -0.068 10
0.019 0.005 0.024 10
0.042 0.005 0.065 10
0.004 0.047 0.067 10
-0.004 -0.008 0.06 9
-0.03 -0.025 0.011 10
0.007 0.029 0.036 10
-0.002 -0.008 0.015 10
0.006 -0.007 0.013 10
-0.019 -0.032 -0.004 10
0.0 -0.055 -0.056 10
0.0 -0.066 -0.05 10
0.042 -0.068 -0.071 9
0.029 -0.027 -0.038 10
0.018 0.001 0.025 10
0.024 0.061 -0.002 10
0.013 -0.005 0.006 10
-0.022 -0.013 -0.028 10
0.006 -0.011 -0.043 10
0.031 0.015 0.03 10
0.028 0.013 0.052 9
0.008 0.063 0.064 10
-0.053 0.04 0.058 10
-0.064 0.027 -0.016 10
-0.015 0.05 -0.006 10
-0.031 0.011 -0.1 10
-0.062 -0.015 -0.004 10
-0.064 -0.014 -0.072 10
-0.032 0.013 -0.013 9
-0.02 0.003 0.056 10
0.007 -0.005 0.033 10
0.006 -0.005 -0.012 10
0.031 0.029 0.023 10
0.054 0.061 0.02 10
0.023 0.029 0.001 10
0.038 -0.033 0.035 10
0.034 -0.013 -0.002 10
0.004 0.013 -0.01 9
0.013 0.003 -0.035 10
0.02 -0.03 0.011 10
0.018 -0.01 -0.015 10
0.016 -0.026 -0.022 10
0.006 -0.084 -0.046 10
-0.002 -0.041 -0.041 10
0.014 -0.037 -0.037 10
-0.029 0.0 0.035 9
-0.018 -0.025 0.066 10
-0.059 0.011 0.042 10
-0.019 0.019 0.029 10
-0.008 0.008 0.052 10
0.018 0.0 0.021 10
0.0 0.025 0.027 10
-0.026 0.014 0.024 10
0.027 0.021 -0.037 10
0.0 -0.041 -0.016 9
-0.009 -0.002 -0.023 10
-0.008 0.006 -0.073 10
-0.024 0.022 -0.005 10
-0.013 0.02 0.02 10
-0.038 0.018 -0.032 10
-0.017 0.025 -0.012 10
-0.024 -0.003 -0.011 10
-0.03 0.023 0.05 9
-0.01 0.038 0.019 10
-0.017 0.0 0.008 10
-0.007 -0.043 -0.009 10
-0.032 -0.021 0.0 10
0.022 0.057 0.017 10
-0.005 0.043 0.015 10
0.003 -0.029 -0.003 10
0.037 0.0 0.031 10
0.033 0.007 0.002 9
0.047 -0.018 0.002 10
-0.008 -0.042 -0.04 10
0.018 -0.047 -0.071 10
0.05 -0.007 0.004 10
0.019 -0.007 -0.012 10
0.017 -0.015 0.031 10
-0.009 0.02 0.019 10
-0.017 -0.007 -0.008 9
-0.015 -0.023 -0.041 10
-0.014 0.021 0.005 10
0.004 -0.006 0.022 10
0.004 0.003 0.019 10
-0.004 -0.014 0.0 10
0.004 -0.004 0.026 10
0.029 0.013 0.006 10
0.018 -0.013 -0.019 9
0.024 -0.021 0.0 10
-0.003 0.006 -0.009 10
0.031 -0.011 -0.025 10
0.054 -0.009 0.002 10
0.048 -0.043 -0.057 10
0.026 -0.056 -0.06 10
0.041 -0.085 -0.045 10
0.062 -0.076 -0.049 9
-0.003 -0.034 -0.036 10
0.031 0.063 0.079 10
-0.015 -0.002 0.045 10
-0.039 0.031 0.058 10
-0.052 0.002 0.069 10
-0.081 0.019 -0.006 10
-0.082 0.026 0.002 10
-0.056 0.015 -0.005 9
-0.085 0.013 0.029 10
-0.077 0.029 0.077 10
-0.069 0.086 0.147 10
-0.045 0.129 0.115 10
-0.006 0.168 -0.232 10
0.097 0.039 -0.088 10
0.096 -0.153 -0.01 10
0.155 -0.009 0.016 10
0.166 -0.059 -0.088 9
0.14 -0.053 0.092 11
0.126 -0.074 0.057 9
0.105 -0.015 0.06 10
0.069 -0.013 0.106 10
0.019 -0.021 0.069 10
-0.008 -0.053 0.002 10
-0.05 -0.048 -0.023 10
-0.08 -0.069 -0.021 10
-0.054 -0.07 -0.157 9
0.002 0.005 -0.089 10
0.002 0.021 0.022 10
0.036 0.028 0.054 10
0.024 0.085 0.023 10
-0.073 0.008 -0.056 10
-0.065 -0.018 -0.085 10
-0.033 0.043 -0.076 10
-0.038 0.004 -0.043 9
-0.077 0.03 -0.03 10
-0.07 -0.024 -0.061 10
-0.054 0.012 0.013 10
-0.057 0.002 -0.031 10
-0.017 -0.04 -0.079 10
-0.032 -0.019 -0.019 10
-0.003 0.025 0.025 9
0.039 0.014 0.039 10
0.044 0.021 0.07 10
0.048 0.045 0.071 10
0.026 0.032 0.073 10
0.015 0.063 0.057 10
0.022 0.013 0.068 10
0.045 0.047 0.027 10
0.006 0.016 -0.009 10
0.014 0.006 0.06 9
0.039 0.014 0.028 10
0.0 0.004 -0.008 10
-0.042 -0.039 -0.025 10
-0.038 -0.052 -0.048 10
-0.068 -0.021 -0.112 10
-0.018 -0.002 0.001 10
-0.016 -0.036 0.001 10
-0.041 0.001 -0.05 9
-0.054 -0.024 0.032 10
-0.04 -0.03 0.003 10
-0.044 -0.027 -0.057 10
-0.014 -0.024 0.017 10
0.03 0.02 0.05 10
-0.024 0.01 0.019 10
-0.039 -0.016 0.034 9
-0.018 0.002 0.005 11
0.0 0.027 0.004 10
-0.007 0.007 0.021 9
-0.015 0.032 0.027 10
0.02 -0.039 -0.026 10
0.018 -0.026 -0.006 10
0.007 0.044 0.028 10
0.007 0.005 0.06 9
-0.002 -0.003 0.011 10
-0.01 0.04 -0.015 10
0.007 -0.032 -0.014 10
0.015 0.013 0.004 10
0.031 -0.005 0.081 10
0.019 -0.004 -0.004 10
0.017 0.021 0.039 10
0.007 0.01 0.078 10
-0.028 -0.015 -0.075 10
-0.042 -0.048 -0.076 9
