# Accelerometer Data File
# Started @Mon Jan 16 23:02:36 GMT+05:30 2017
#
#
# sensor Vendor: Kionix
# sensor Name: 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.174 1.513 -0.58 10
-1.039 1.844 -0.134 10
-0.797 1.763 -0.319 10
-0.493 1.509 -1.209 10
-0.116 0.979 -2.286 10
0.239 0.45 -3.385 10
0.586 0.285 -3.934 9
0.734 0.178 -4.17 11
0.747 0.247 -4.442 9
0.612 0.334 -4.688 10
0.387 0.171 -4.676 10
0.064 -0.052 -4.579 10
-0.399 -0.115 -4.448 9
-0.712 0.033 -4.288 10
-0.848 0.073 -4.376 10
-1.039 0.16 -4.223 10
-1.133 0.334 -4.051 10
-1.123 0.628 -3.732 10
-1.054 0.91 -3.548 10
-0.854 1.017 -3.46 9
-0.639 1.062 -3.278 10
-0.334 1.249 -3.424 10
-0.05 1.529 -3.668 10
0.066 1.669 -3.801 10
0.128 1.838 -3.809 10
0.124 1.99 -3.626 9
0.086 2.093 -3.281 10
0.077 2.159 -3.125 10
0.345 2.211 -2.959 10
0.698 2.196 -3.085 10
0.758 2.201 -2.906 10
0.949 2.334 -2.546 10
1.061 2.428 -2.257 10
1.274 2.565 -2.238 9
1.474 2.532 -2.066 10
1.611 2.348 -1.816 10
1.614 2.242 -1.548 10
1.728 2.285 -1.437 10
1.874 2.151 -1.19 10
1.764 2.031 -1.071 10
1.407 1.957 -0.782 10
1.111 1.796 -0.282 9
1.008 1.444 0.159 10
1.218 1.187 0.247 10
1.492 1.086 0.024 10
1.524 0.934 -0.09 10
1.449 0.849 -0.046 10
1.347 0.54 0.061 10
1.135 0.365 0.081 10
0.909 0.131 0.081 9
0.663 -0.088 0.03 10
0.321 -0.174 0.044 10
-0.098 -0.458 -0.063 10
-0.502 -0.697 0.098 10
-0.745 -0.765 0.286 10
-1.058 -0.964 0.266 10
-1.323 -1.454 0.136 10
-1.587 -2.05 -0.316 9
-1.876 -2.526 -0.621 10
-2.068 -2.876 -0.498 10
-2.309 -2.89 -0.009 10
-2.371 -2.317 0.276 10
-2.143 -2.068 0.196 10
-1.756 -2.318 -0.003 10
-1.374 -2.526 -0.167 10
-1.021 -2.756 -0.202 9
-0.582 -2.592 0.248 10
0.027 -1.635 0.542 10
0.532 -0.713 1.152 10
0.41 -1.038 2.226 10
-0.328 -1.736 3.994 10
-0.881 -1.795 5.233 10
-1.31 -1.641 6.114 10
-0.998 -0.391 7.123 9
0.057 1.233 5.833 10
0.974 1.36 4.448 10
1.462 -0.042 3.572 10
1.17 -1.995 2.405 10
0.148 -3.217 2.802 10
-0.875 -2.93 5.556 10
-1.399 -2.085 7.646 10
-1.75 -1.454 9.278 10
-1.911 -1.498 10.16 9
-1.97 -1.943 9.627 10
-1.997 -2.671 7.414 12
-2.116 -3.697 5.5 8
-2.172 -4.232 4.45 10
-2.093 -4.179 4.798 10
-2.478 -3.572 6.818 10
-2.506 -2.249 8.653 10
-2.609 -1.326 9.761 9
-2.236 -1.159 9.363 10
-1.297 -0.853 7.246 10
-0.141 -0.122 4.245 10
0.751 0.14 1.666 10
1.555 0.246 -0.266 10
2.167 0.428 -1.369 10
2.622 0.911 -1.654 9
2.558 1.372 -1.704 10
2.104 1.433 -1.232 10
1.575 1.238 -0.919 10
0.9 0.976 -0.982 10
0.336 0.723 -1.263 10
0.078 0.418 -1.654 10
0.139 0.169 -2.083 10
0.289 0.04 -2.384 10
0.484 -0.006 -2.395 9
0.591 0.132 -2.638 10
0.618 0.299 -2.745 10
0.677 0.399 -3.031 10
0.445 0.307 -3.21 10
0.237 0.13 -3.036 10
0.093 -0.106 -2.818 10
-0.011 -0.302 -2.355 10
-0.07 -0.47 -1.491 9
0.083 -0.199 -0.635 10
0.523 -0.093 -0.071 10
0.918 0.079 0.469 10
1.102 0.364 0.526 10
1.096 0.5 0.404 10
0.865 0.252 0.433 10
0.58 -0.091 0.846 9
0.384 -0.436 1.236 10
0.32 -0.582 1.284 10
0.228 -0.429 1.552 10
0.369 -0.222 1.975 10
0.504 -0.019 2.191 10
0.505 -0.008 2.161 10
0.386 -0.171 2.117 9
0.192 -0.188 1.94 11
-0.059 -0.394 2.022 9
-0.208 -0.682 2.337 10
-0.075 -0.613 2.189 10
0.009 -0.595 2.048 10
0.034 -0.673 1.877 10
0.099 -0.597 1.604 10
0.141 -0.46 1.262 9
0.179 -0.276 0.981 10
0.281 -0.145 0.865 10
0.279 0.101 0.537 10
0.122 0.186 0.26 10
-0.234 0.288 -0.007 10
-0.53 0.328 -0.299 10
-0.839 0.287 -0.778 10
-1.22 0.491 -1.433 9
-1.391 0.666 -2.065 10
-1.528 0.685 -2.919 10
-1.573 0.72 -3.851 10
-1.743 0.7 -4.457 10
-1.741 0.819 -5.149 10
-1.731 1.082 -5.754 10
-1.67 1.215 -6.058 10
-1.503 1.326 -6.193 9
-1.232 1.625 -6.324 11
-0.798 1.833 -6.295 9
-0.167 1.908 -6.441 10
0.237 1.889 -6.366 10
0.429 1.769 -6.375 10
0.61 1.558 -6.315 10
0.859 1.385 -6.149 9
1.057 1.376 -6.0 10
1.219 1.238 -5.641 10
1.347 1.183 -5.111 10
1.359 1.728 -5.048 10
1.197 2.047 -4.828 10
0.913 1.902 -4.345 10
0.762 1.652 -4.066 10
0.642 1.461 -3.737 10
0.535 1.073 -3.251 9
0.447 0.897 -2.771 10
0.325 1.083 -2.381 10
0.309 1.38 -2.083 10
0.39 1.88 -2.021 10
0.472 2.036 -2.043 10
0.511 1.755 -1.804 10
0.658 1.519 -1.744 9
0.799 1.367 -1.708 10
0.779 1.093 -1.632 10
0.77 0.949 -1.529 10
0.874 1.035 -1.445 10
1.054 1.155 -1.093 10
0.983 1.307 -0.562 10
0.773 1.814 0.028 9
0.764 2.064 0.551 10
0.783 1.926 0.858 10
0.808 1.725 0.849 10
0.882 1.432 0.713 10
0.975 1.219 0.245 10
1.101 1.054 -0.132 10
1.241 0.82 -0.369 10
1.246 0.962 -0.521 9
1.208 0.995 -0.374 10
0.94 0.792 -0.052 10
0.648 0.704 0.236 10
0.428 0.556 0.557 10
0.265 0.181 0.726 10
0.152 -0.172 0.532 10
0.068 -0.387 0.324 9
-0.05 -0.555 0.042 10
-0.218 -0.733 -0.125 10
-0.428 -0.944 -0.156 10
-0.713 -1.306 0.005 10
-0.805 -1.503 0.143 10
-0.811 -1.456 0.309 10
-0.859 -1.379 0.511 10
-0.928 -1.483 0.779 10
-1.042 -1.222 0.934 9
-0.955 -0.704 0.892 10
-0.946 -0.59 0.88 10
-0.912 -0.841 0.93 10
-0.812 -0.904 0.837 10
-0.886 -1.261 0.934 10
-1.107 -1.833 1.401 10
-1.307 -1.288 1.683 9
-1.219 -0.737 1.816 10
-1.235 -0.827 2.031 10
-1.422 -1.503 2.931 10
-1.573 -1.99 3.379 10
-1.657 -1.851 3.921 10
-1.508 -1.433 4.666 10
-1.219 -1.376 5.329 10
-0.934 -1.273 5.52 10
-0.858 -1.611 5.692 9
-0.987 -2.2 5.778 10
-1.345 -2.928 5.786 10
-1.78 -3.669 6.138 10
-2.222 -4.276 6.8 10
-2.379 -4.047 7.128 10
-2.089 -3.099 7.139 10
-1.717 -2.505 6.796 10
-1.192 -2.401 6.625 9
-0.736 -2.635 6.583 10
-0.404 -2.673 6.855 10
-0.303 -2.44 7.652 10
-0.066 -1.782 8.318 10
0.216 -0.699 7.96 10
0.625 -0.06 6.63 10
0.847 0.023 4.682 9
0.909 0.046 2.533 10
0.999 -0.035 0.358 10
1.2 -0.221 -0.797 10
1.425 -0.053 -1.399 10
1.507 0.15 -1.181 10
1.58 0.48 -0.804 10
1.456 0.854 -0.517 9
1.242 1.053 -0.672 11
0.833 1.051 -1.294 9
0.465 0.843 -2.156 12
0.264 0.474 -3.233 8
0.142 0.176 -3.746 10
0.18 0.141 -3.914 10
0.343 0.196 -3.911 10
0.472 0.185 -3.451 9
0.554 0.279 -2.804 10
0.611 0.423 -1.972 10
0.601 0.441 -1.051 10
0.645 0.345 -0.187 10
0.597 0.147 0.391 10
0.615 0.029 0.567 10
0.545 -0.137 0.528 10
0.413 -0.244 0.346 9
0.225 -0.271 0.225 10
0.03 -0.278 0.254 10
-0.282 -0.423 0.487 10
-0.599 -0.596 0.844 10
-0.772 -0.562 1.095 10
-0.858 -0.549 1.46 10
-0.824 -0.546 1.607 9
-0.716 -0.224 1.498 10
-0.592 -0.038 1.244 10
-0.404 0.0 0.81 10
-0.337 -0.034 0.099 10
-0.373 -0.143 -0.409 10
-0.301 -0.352 -0.67 10
0.004 -0.257 -0.853 10
0.323 -0.102 -0.725 9
0.669 -0.186 -0.281 10
1.189 -0.228 0.211 10
1.613 -0.248 0.974 10
2.098 0.026 1.497 10
2.25 0.29 1.71 10
2.447 0.864 1.685 10
2.297 1.355 1.086 10
1.869 1.332 0.348 9
1.355 1.138 -0.41 10
0.909 1.059 -1.214 10
0.404 1.143 -1.54 10
-0.023 1.502 -1.878 10
-0.34 1.55 -2.31 10
-0.573 1.3 -2.726 10
-0.817 1.222 -2.996 9
-0.977 1.195 -3.584 10
-1.103 0.929 -4.372 10
-1.208 0.534 -4.728 10
-1.199 0.282 -5.212 10
-1.088 0.211 -5.423 10
-0.902 0.328 -5.493 11
-0.889 0.45 -5.504 9
-0.809 0.353 -5.186 10
-0.745 0.033 -4.934 9
-0.739 0.116 -4.7 10
-0.708 0.061 -4.324 10
-0.707 0.219 -4.383 10
-0.739 0.387 -3.971 10
-0.639 0.727 -3.505 10
-0.524 0.758 -3.033 10
-0.463 0.751 -2.782 10
-0.503 1.081 -2.607 9
-0.478 1.421 -2.665 10
-0.396 1.52 -2.554 10
-0.356 1.584 -2.721 10
-0.269 1.727 -2.724 10
-0.087 1.726 -2.693 10
0.093 1.588 -2.613 9
0.282 1.481 -2.662 11
0.521 1.35 -2.732 9
0.822 1.232 -2.933 10
1.119 1.281 -3.191 10
1.404 1.472 -3.2 10
1.634 1.644 -3.069 10
1.738 1.747 -2.573 10
1.642 1.934 -1.695 10
1.572 2.154 -0.93 9
1.544 2.042 -0.398 10
1.484 1.907 -0.16 10
1.362 1.906 -0.023 10
1.295 1.801 0.125 10
1.303 1.69 0.207 10
1.285 1.573 0.281 10
1.225 1.372 0.253 9
1.223 1.157 0.279 11
1.187 0.723 0.329 9
1.327 0.487 0.494 10
1.453 0.662 0.367 10
1.488 0.647 0.261 10
1.52 0.272 0.123 10
1.48 0.021 -0.061 10
1.384 -0.084 -0.166 10
1.263 -0.256 -0.15 9
0.981 -0.317 0.037 10
0.625 -0.25 0.335 10
0.166 -0.26 0.594 10
-0.367 -0.406 0.664 10
-0.787 -0.598 0.787 10
-1.131 -0.78 0.639 10
-1.311 -0.891 0.403 9
-1.214 -1.138 -0.257 10
-0.912 -1.343 -0.429 10
-0.553 -1.485 -0.455 10
-0.377 -1.509 -0.505 10
-0.279 -1.435 -0.463 10
-0.251 -1.628 0.065 10
-0.424 -1.069 -0.268 10
-0.425 -0.246 -0.715 9
-0.563 -0.618 -0.618 10
-0.774 -1.125 -0.754 10
-0.895 -1.314 -0.618 10
-0.969 -2.01 -0.556 10
-1.286 -2.723 -0.346 10
-1.778 -2.631 0.067 10
-1.988 -2.11 0.922 9
-1.772 -1.088 2.347 10
-1.551 -0.316 3.474 10
-1.379 0.163 3.833 10
-1.181 -0.059 4.114 10
-1.045 -0.7 4.211 10
-1.105 -1.509 3.79 10
-1.235 -1.694 3.066 10
-1.095 -1.309 2.673 9
-0.813 -1.187 2.147 10
-0.723 -1.637 2.088 10
-0.874 -2.335 2.844 10
-1.39 -3.256 4.938 10
-1.898 -3.732 7.651 10
-2.337 -3.195 9.489 10
-2.638 -2.824 10.04 10
-2.279 -2.498 9.484 9
-1.655 -2.318 7.76 10
-1.403 -2.379 6.182 10
-1.073 -2.374 5.297 10
-0.785 -2.205 5.379 10
-0.611 -1.76 6.073 10
-0.335 -0.834 6.311 10
-0.155 -0.208 6.076 10
-0.07 0.01 5.262 9
-0.011 -0.093 4.184 10
0.239 -0.325 3.084 13
0.551 -0.344 2.069 7
0.841 -0.138 1.492 10
1.101 0.099 0.963 10
1.353 0.313 0.763 10
1.554 0.601 0.515 9
1.666 0.963 0.446 10
1.534 1.099 0.462 10
1.32 1.058 0.096 10
0.929 0.901 -0.498 10
0.629 0.716 -1.5 10
0.54 0.506 -2.307 10
0.478 0.378 -3.102 9
0.594 0.271 -3.602 10
0.801 0.192 -3.741 10
1.101 0.432 -3.393 10
1.154 0.699 -2.795 10
1.134 0.732 -1.895 10
1.08 0.659 -1.24 10
0.886 0.498 -0.883 10
0.573 0.19 -0.717 9
0.102 -0.182 -0.654 10
-0.295 -0.25 -0.244 10
-0.653 -0.388 0.297 10
-0.941 -0.496 0.905 10
-1.269 -0.377 1.564 10
-1.728 -0.253 1.804 10
-1.969 -0.254 1.572 10
-2.143 -0.616 1.113 10
-2.265 -0.805 0.528 9
-2.124 -0.819 0.285 10
-1.748 -0.694 0.36 10
-1.254 -0.349 0.617 11
-0.896 0.004 0.831 10
-0.574 0.185 1.007 10
-0.215 0.183 1.164 10
0.271 0.243 0.97 9
0.468 0.348 0.873 10
0.654 0.244 0.777 10
0.942 0.254 0.829 10
1.244 0.453 0.754 10
1.533 0.64 0.757 10
1.613 0.705 0.715 10
1.529 0.755 0.532 9
1.298 0.775 0.22 10
1.082 0.913 -0.12 10
0.819 1.071 -0.599 10
0.444 1.223 -1.134 10
-0.056 1.161 -2.201 10
-0.447 1.027 -3.24 10
-0.557 0.985 -3.924 9
-0.553 0.998 -4.419 10
-0.558 0.967 -4.684 10
-0.477 0.69 -4.81 10
-0.369 0.509 -4.881 10
0.047 0.725 -4.651 10
0.533 1.152 -4.307 9
0.954 1.485 -4.1 10
1.074 1.354 -4.121 10
0.932 0.65 -4.192 10
0.528 0.472 -4.41 10
0.053 0.382 -4.788 10
-0.46 0.059 -5.111 9
-0.689 -0.092 -5.074 11
-0.724 0.002 -5.135 9
-0.548 0.252 -4.725 10
-0.166 0.278 -4.313 10
0.255 0.406 -4.14 10
0.479 0.546 -3.967 10
0.5 0.621 -3.898 10
0.295 0.653 -3.681 9
0.102 0.829 -3.468 10
0.083 1.22 -3.405 10
0.144 1.322 -3.039 10
0.302 1.302 -2.631 10
0.608 1.43 -2.342 10
0.728 1.649 -1.996 10
0.896 1.838 -1.676 12
1.057 1.895 -1.482 7
1.287 1.878 -1.446 10
1.563 2.087 -1.362 10
1.562 2.231 -1.062 10
1.406 2.215 -0.688 10
1.291 2.287 -0.473 10
1.257 2.428 -0.124 9
1.209 2.401 0.129 10
1.139 2.161 0.159 10
1.137 1.91 0.16 10
1.213 1.745 -0.096 10
1.281 1.545 -0.379 10
1.214 1.364 -0.583 10
1.032 1.305 -0.568 10
0.894 1.295 -0.476 10
0.96 1.304 -0.23 9
1.036 1.165 -0.069 10
1.045 0.928 0.014 10
1.104 0.878 -0.072 10
1.166 0.799 -0.16 10
1.144 0.624 -0.239 10
1.116 0.51 -0.327 10
0.987 0.39 -0.277 10
0.793 0.359 -0.128 9
0.55 0.168 -0.029 10
0.297 -0.089 0.11 10
0.043 -0.14 0.211 10
-0.262 -0.212 0.19 10
-0.52 -0.389 0.059 10
-0.658 -0.523 0.096 10
-0.79 -0.764 -0.068 10
-1.116 -0.903 0.016 9
-1.479 -0.898 0.023 10
-1.598 -1.11 0.141 10
-1.679 -1.534 0.049 10
-1.718 -1.846 -0.308 10
-1.658 -2.032 -0.587 10
-1.415 -1.958 -0.83 10
-1.058 -1.762 -1.032 9
-0.831 -1.87 -0.834 10
-0.628 -1.786 -0.492 10
-0.487 -1.116 -0.442 10
-0.611 -0.807 0.23 10
-0.662 -0.45 0.802 10
-0.492 -0.336 1.118 10
-0.27 -0.682 1.325 10
-0.295 -1.113 1.391 10
-0.524 -1.088 1.407 9
-0.489 -0.85 1.671 10
-0.604 -0.937 2.125 10
-0.517 -0.8 2.791 10
-0.405 -0.186 3.71 10
0.005 0.332 4.27 10
0.375 0.316 4.196 10
0.596 -0.62 3.88 9
0.433 -1.489 2.992 10
0.364 -1.616 2.253 10
0.198 -1.902 2.252 10
-0.131 -2.143 3.337 10
-0.152 -1.877 5.296 10
0.034 -1.594 6.611 10
0.134 -1.461 7.285 9
-0.008 -1.539 7.083 10
-0.214 -1.911 6.478 10
-0.468 -2.125 5.313 10
-0.792 -2.283 4.385 10
-1.04 -2.416 4.283 10
-1.298 -2.287 5.207 10
-1.349 -1.799 6.255 10
-1.318 -1.464 7.095 10
-1.238 -1.206 7.282 9
-1.045 -1.145 6.847 10
-0.57 -0.988 6.093 10
-0.039 -0.751 4.898 10
0.344 -0.822 3.399 10
0.464 -1.093 2.327 10
0.263 -1.122 2.361 10
0.305 -0.786 2.901 9
0.602 -0.138 3.49 10
0.904 0.513 3.666 10
1.313 0.901 3.558 10
1.466 1.095 2.694 10
1.501 1.132 1.149 10
1.48 1.096 -0.603 10
1.444 0.918 -1.982 10
1.394 0.688 -2.973 10
1.238 0.55 -3.65 9
1.062 0.495 -4.0 10
0.827 0.463 -3.686 10
0.632 0.468 -3.05 10
0.491 0.516 -2.142 10
0.381 0.525 -1.212 10
0.309 0.438 -0.41 10
0.192 0.247 0.001 10
0.0 0.223 0.087 9
-0.266 0.002 -0.197 10
-0.584 -0.204 -0.548 10
-0.853 -0.442 -0.614 10
-1.156 -0.458 -0.371 10
-1.445 -0.223 0.036 10
-1.62 -0.131 0.566 10
-1.725 -0.049 0.803 9
-1.699 0.006 0.912 11
-1.546 -0.028 0.76 9
-1.357 -0.094 0.452 10
-1.178 -0.093 0.329 10
-0.741 -0.11 0.365 10
-0.486 -0.021 0.44 10
-0.265 0.075 0.724 10
0.088 0.266 0.988 10
0.424 0.463 0.828 10
0.571 0.537 0.556 9
0.833 0.346 0.181 10
1.413 0.492 -0.293 10
1.927 0.977 -0.944 10
2.381 1.586 -2.16 10
